Brand,Product_Name,Price,Polarized Glasses,Prescibed Glasses,Frame_Color,Lense_Color,Eye_Size,Item ID
Ray-Ban,Elliot RX5397,201.6,No,Yes,Havana,Clear  ,48 Eye Size,39734059
Ray-Ban,Frank RX3857V,201.6,No,Yes,Black,Clear,48 Eye Size,73160108
Michael Kors,Flatiron MK2185BU,253.8,No,No,Dark Tortoise,Brown Gradient  ,54 Eye Size,61528121
Boss,1712/F/SK,378,No,No,Gold,Green,54 Eye Size,50716980
Burberry,BE2393D,270,No,Yes,Dark Havana,Clear,54 Eye Size,23892069
Ray-Ban,Mr Burbank RX5383,214.2,No,Yes,Black,Clear,54 Eye Size,14297487
Dolce & Gabbana,DG3372,342,No,Yes,Havana,Clear  ,52 Eye Size,12513177
Valley,Lafayette,260,Yes,No,Gloss Black Light Tan Splice with Rose Gold Metal,Black,52 Eye Size,11693946
Ray-Ban,RB2210,259.2,No,No,Black,Green Polarised Glass,52 Eye Size,53662252
Ray-Ban,Kat RX7327,169.2,No,Yes,Black,Clear  ,50 Eye Size,11172224
Raen,Remmy 52,251.96,Yes,No,Cambria,Green Polarised,50 Eye Size,33712608
Michael Kors,CATALONIA MK1144B,253.8,Yes,No,Shiny Rose Gold,Light Brown and Pink Gradient,50 Eye Size,40314888
Prada,PRA03V,438.3,No,Yes,Black,Clear  ,52 Eye Size,92728317
GUCCI,GG1661S,575,No,No,Black,Grey,52 Eye Size,23466505
Oakley,Holbrook,187.2,No,No,Matte Black and Duality Swirl,Prizm Grey,52 Eye Size,50650721
Michael Kors,Georgetown MK4105BU,225,No,Yes,Pink Tortoise,Clear  ,52 Eye Size,15548150
Versace,VE1286D,329.4,No,Yes,Gold,Clear,52 Eye Size,37648661
Oakley,Ojector,205.2,No,No,Matte Brown Tortoise,Prizm Black,52 Eye Size,15035140
Burberry,BE2405U,496.8,No,Yes,Dark Grey,Clear  ,51 Eye Size,85652406
Prada Linea Rossa,PS04NV,324.9,No,Yes,Black,Clear,51 Eye Size,31080369
Michael Kors,Asheville MK2210U,166.5,Yes,No,Black,Dark Grey,51 Eye Size,49537760
Prada Linea Rossa,PS04QV,352.8,No,Yes,Black Rubber,Clear  ,54 Eye Size,27861337
Isabel Marant,IM 0189/S,400.5,No,No,Green,Grey Green Gradient,54 Eye Size,53229415
Isabel Marant,IM 0189/S,400.5,No,No,Black,Grey,54 Eye Size,90219392
Prada,PR65ZS,440.1,No,No,Pale Gold,Dark Green,54 Eye Size,13492417
Ray-Ban,Wayfarer Way RB2241,210.6,No,No,Black,Green Glass  ,54 Eye Size,21196132
Boss,1718/S,360,No,No,Black,Grey Gradient,54 Eye Size,69065970
Oakley,Radar EV Path,270.9,Yes,No,Matte Grey Ink,Prizm Trail Torch,54 Eye Size,81217390
Prada,PR56ZV,409.5,No,Yes,Pale Gold,Clear,54 Eye Size,56729211
Valley,Tomahawk,280,No,No,Gloss Black with Gold Metal,Black Polarised,54 Eye Size,74783605
Prada Linea Rossa,PS06PV,324.9,No,Yes,Black Rubber,Clear,54 Eye Size,79872429
Prada,PRA06S,561.6,No,No,Transparent Dark Grey,Dark Grey,54 Eye Size,44855040
Coach,HC7165D,179.35,Yes,No,Shiny Light Gold,Grey Gradient,54 Eye Size,70152053
Miu Miu,MU14ZS,538.2,No,No,Black,Dark Grey,54 Eye Size,72046777
Miu Miu,01VV,438.3,No,Yes,Clear,Clear  ,52 Eye Size,47424158
GUCCI,GG1778S,655,No,No,Black,Grey,52 Eye Size,78716885
Prada,PR15WS,440.1,No,No,Root Black,Dark Grey,52 Eye Size,42745694
Serengeti,Shelton,449.1,No,No,Shiny Dark Gunmetal,555nm Photochromic Polarised Glass,52 Eye Size,90032079
Oakley Youth,Frogskins XS,160.55,No,No,Dark Galaxy,Prizm Jade,52 Eye Size,42007217
Michael Kors,Cadiz MK1145B,253.8,Yes,No,Shiny Silver,Navy Gradient,52 Eye Size,29949871
Persol,PO3328S,442.8,Yes,No,Transparent Brown,Blue Gradient Polarised Glass  ,58 Eye Size,42980883
Ray-Ban,RB2206D,196.2,No,No,Black,Dark Grey,58 Eye Size,66439870
Prada,PR21ZV,466.2,No,Yes,White,Clear  ,53 Eye Size,84849511
Prada,PR18ZV,494.1,No,Yes,Havana Red,Clear,53 Eye Size,56460104
Emporio Armani,EA2155,221.85,Yes,No,Matte Brown,Dark Brown,53 Eye Size,25891460
Michael Kors,Dubai MK2211U,202.5,Yes,No,Dark Tortoise,Brown Gradient Polarised,53 Eye Size,93797832
Dolce & Gabbana,DG4471,413.1,Yes,No,Black,Dark Grey,53 Eye Size,91733605
Arnette,Thekidd AN4318,144,No,No,Dark Havana,Dark Green,53 Eye Size,58070367
Oakley,Port Bow OX8164,174.6,No,Yes,Polished Clear,Clear  ,53 Eye Size,49307076
Versace,VE4441,351.9,Yes,No,Dark Havana,Dark Brown,53 Eye Size,24548973
Miu Miu,04UV,438.3,No,Yes,Black,Clear,53 Eye Size,29860548
Arnette,Bigflip AN4343,142.2,No,No,Dark Havana,Dark Blue Polarised,53 Eye Size,34763021
Dolce & Gabbana,DG4416,334.8,No,No,Havana,Dark Brown,53 Eye Size,78723178
Ray-Ban,RX7228,181.8,No,Yes,Opal Dark Grey,Clear  ,53 Eye Size,34240747
Coach,HC8391U,179.35,Yes,No,Black,Grey,53 Eye Size,50540042
Oakley,Frogskins Range,244.8,No,No,Matte Transparent Blue,Prizm Black,53 Eye Size,61182841
Burberry,BE2408U,440.1,No,Yes,Blue Havana,Clear  ,53 Eye Size,69733882
Michael Kors,Cadiz MK1145B,253.8,Yes,No,Shiny Light Gold,Brown Gradient,53 Eye Size,76344250
Prada Linea Rossa,PS50PV,381.6,No,Yes,Black and Silver,Clear,53 Eye Size,31797935
Michael Kors,Sanya MK1157D,173.7,Yes,No,Shiny Light Gold,Light Brown,53 Eye Size,72057658
Prada,PRA03V,438.3,No,Yes,Red Havana,Clear  ,52 Eye Size,68625421
Ray-Ban,Frank RX3857V,201.6,No,Yes,Gold,Clear,52 Eye Size,39939340
Raen,Remmy 49 Small,251.96,Yes,No,Cambria,Green Polarised,52 Eye Size,12605726
Ray-Ban,Old Aviator RB3825,210.6,No,No,Arista Gold,Green Glass  ,62 Eye Size,72172756
Oakley,Frogskins Range,217.8,No,No,Matte Clear,Prizm Violet Mirror,62 Eye Size,94689755
Ray-Ban,RB3751,196.2,No,No,Black,Green Glass  ,61 Eye Size,46711874
Miu Miu,04UV,438.3,No,Yes,Opal Anise,Clear,61 Eye Size,83640238
Ray-Ban,Elliot RX5397,201.6,No,Yes,Brown Grey Havana,Clear  ,48 Eye Size,86680478
Prada Linea Rossa,PSA50S,504.9,No,No,Matte Black,Dark Grey Polarised,48 Eye Size,43638085
Emporio Armani,EA4222U,235.45,Yes,No,Shiny Black,Dark Grey,48 Eye Size,39704517
Ray-Ban,Wayfarer Way RB2241,219.6,No,No,Grey Havana,Grey Gradient Glass  ,54 Eye Size,50584172
Miu Miu,04UV,438.3,No,Yes,Opal Cognac,Clear,54 Eye Size,59764543
Oakley,Leffingwell,268.2,No,No,Matte Brown Tortoise,Prizm Black Polarised,54 Eye Size,63492534
Valley,Bang,260,Yes,No,Army Green with Gold Metal Trim,Brown Gradient,54 Eye Size,60961958
Prada,PR19WV,352.8,No,Yes,Caramel Tortoise,Clear,54 Eye Size,70857078
Versace,VE3334,329.4,No,Yes,Opal Pink,Clear,54 Eye Size,95875196
Ray-Ban,Zena RX7330,169.2,No,Yes,Black,Clear  ,52 Eye Size,54247924
Prada,PR18WV,466.2,No,Yes,Tortoise,Clear  ,52 Eye Size,67899738
Emporio Armani,EA4219,264.35,Yes,No,Matte Black,Grey Polarised,52 Eye Size,67461577
Oakley,Cables,179.1,No,No,Blue Steel,Prizm Sapphire,52 Eye Size,99750712
Ray-Ban,RB3732,259.2,No,No,Arista Gold,Brown Polarised Glass  ,56 Eye Size,45935898
Isabel Marant,IM 0185/G/S,414,No,No,Burgundy,Brown,56 Eye Size,76276122
Persol,PO3235S,415.8,Yes,No,Miele,Blue Gradient Polarised Glass,56 Eye Size,33202072
Oakley,BiSphaera,237.6,No,No,Matte Black,Prizm Golf,56 Eye Size,63579042
Prada,PRA60S,501.3,No,No,Brass,Violet,56 Eye Size,18704438
Valley,Tomahawk,260,Yes,No,Gloss Black with Gold Metal,Black,56 Eye Size,93792298
Ray-Ban,Erika RX7046,169.2,No,Yes,Transparent Pink,Clear,56 Eye Size,27999320
Oakley,Cables,161.1,No,No,Transparent Poseidon,Prizm Grey,56 Eye Size,83991261
Burberry,BE2408U,440.1,No,Yes,Green,Clear  ,53 Eye Size,26679099
Prada,PRA51S,592.2,Yes,No,Silver,Grey Gradient,53 Eye Size,49994252
Prada,PRA01S,531.9,Yes,No,Black,Light Brown,53 Eye Size,26742454
Versace,VE3331U,313.2,No,Yes,Black,Clear,53 Eye Size,10270843
Valley,Lafayette,260,Yes,No,Army Green Clear Tort Splice with Gold Metal,Brown Gradient,53 Eye Size,68135025
Versace,VE4458F,458.1,Yes,No,Transparent Brown,Light Brown,53 Eye Size,51660923
Ray-Ban,Bain Bridge RB3735,273.6,No,No,Arista Gold,Green Polarised Glass  ,60 Eye Size,49452138
Emporio Armani,EA4230U,250.75,Yes,No,Shiny Black,Dark Grey,60 Eye Size,68917210
Dolce & Gabbana,DG4446B,504.9,Yes,No,Black,Grey,60 Eye Size,76022325
Oakley,Overhead OX8060,161.1,No,Yes,Polished Trans Jade,Clear,60 Eye Size,97016309
Prada Linea Rossa,PSA51S,450.9,No,No,Matte Black,Dark Grey,60 Eye Size,17251564
Prada Linea Rossa,PS53ZS,450.9,No,No,Matte Black,Dark Grey,60 Eye Size,83725239
Persol,PO3351V,346.5,No,Yes,Black,Clear  ,52 Eye Size,26029126
Prada,PRA60S,501.3,No,No,Brass,Violet,52 Eye Size,60211797
Prada,PRA59S,501.3,No,No,Gold,Olive Green,52 Eye Size,21775407
Ray-Ban,Round Metal RX3447V,201.6,No,Yes,Black on Rose Gold,Clear  ,53 Eye Size,20389774
Persol,PO3348V,431.1,No,Yes,Brown Havana,Clear  ,53 Eye size,60424024
Versace,VE3313,286.2,No,Yes,Black,Clear,53 Eye size,36845393
Prada,PRA09S,592.2,No,No,Poppy Tortoise,Light Purple Brown,53 Eye size,98816091
Oakley Youth,Capacitor,114,No,No,Polished Black,Prizm Grey,53 Eye size,26410574
Coach,HC8396U,201.45,Yes,No,Black,Grey Gradient,53 Eye size,96154766
Versace,VE3362U,340.2,No,Yes,Pink,Clear  ,53 Eye Size,40139262
Prada,PR02ZV,310.5,No,Yes,Etruscan Marble,Clear,53 Eye Size,49328465
Oakley,Enigma Ink OX8190,237.6,No,Yes,Satin Black,Clear  ,55 Eye Size,60069500
Burberry,BE2388,326.7,No,Yes,Dark Havana,Clear  ,50 Eye Size,16569228
Ray-Ban,Kiliane RB4395,196.2,Yes,No,Black,Dark Grey,50 Eye Size,66549376
Prada,PR26ZS,561.6,Yes,No,Opal Milk,Light Brown,50 Eye Size,16464264
Emporio Armani,EA4225U,192.1,Yes,No,Matte Blue,Brown Gradient,50 Eye Size,51052286
Versace,VE3314,300.6,No,Yes,Havana,Clear,50 Eye Size,43796976
Ray-Ban,RB3751,196.2,No,No,Black,Green Glass  ,58 Eye Size,83394529
Oakley,BiSphaera,237.6,No,No,Polished White,Prizm Ruby Mirror,58 Eye Size,77367194
Miu Miu,01VV,438.3,No,Yes,Black,Clear  ,52 Eye Size,54238702
Persol,PO3348V,431.1,No,Yes,Black,Clear  ,53 Eye Size,15049963
Emporio Armani,EA4224F,206.55,Yes,No,Shiny Opaline Brown,Brown,53 Eye Size,67528194
Serengeti,Lenwood,413.1,Yes,No,Shiny Crystal Dark Green,Drivers Photochromic Polarised Glass,53 Eye Size,82952967
Serengeti,Delio,413.1,No,No,Shiny Classic Havana,555nm Photochromic Polarised Glass,53 Eye Size,69672671
Oakley,Holbrook,187.2,Yes,No,Matte Black and Duality Swirl,Prizm Grey,53 Eye Size,23541283
Prada,PRA51S,592.2,No,No,Silver,Grey Gradient,53 Eye Size,56886355
Valley,Lafayette,260,Yes,No,Light Tan Biege Splice with Rose Gold Metal,Brown Gradient,53 Eye Size,74354935
Ray-Ban,Elliot RX5397,201.6,No,Yes,Yellow and Blue Havana,Clear  ,48 Eye Size,54833162
Ray-Ban,RB3751,196.2,Yes,No,Gunmetal,Dark Grey Glass  ,61 Eye Size,16574286
Ray-Ban,RB3732,259.2,No,No,Arista Gold,Brown Polarised Glass  ,59 Eye Size,29970335
Prada,PR21ZV,466.2,No,Yes,Honey Tortoise,Clear  ,53 Eye Size,40316928
GUCCI,GG1736S,575,No,No,Black,Grey,53 Eye Size,67279410
Arnette,Phoxer AN4338,99.9,No,No,Frosted Sage,Dark Green,53 Eye Size,48968638
Ray-Ban,RB3746,210.6,No,No,Arista,Green Glass  ,56 Eye Size,22950526
Ray-Ban,RB2210,205.2,No,No,Transparent Brown,Brown Clear Gradient Glass,56 Eye Size,72842469
Persol,PO0649,326.7,Yes,No,Transparent Dark Grey,Blue Glass  ,54 Eye Size,73329422
Ray-Ban,Kiliane RB4395,196.2,Yes,No,Transparent Brown,Dark Brown,54 Eye Size,31769301
Oakley Youth,Capacitor,133,No,No,Polished White,Prizm Sapphire,54 Eye Size,82520055
Ray-Ban,RB3732,196.2,No,No,Black,Dark Grey Glass  ,59 Eye Size,95157056
Prada,PR15WV,310.5,No,Yes,Grey Crystal,Clear,59 Eye Size,28921299
Prada,PRA59S,501.3,No,No,Black,Grey Silver Mirror,59 Eye Size,53958381
Burberry,BE2409,355.5,No,Yes,Black,Clear  ,53 Eye Size,52018924
Emporio Armani,EA4228,235.45,Yes,No,Shiny Green and Matte Gunmetal,Green Gradient,53 Eye Size,49251798
Persol,PO0714,406.8,Yes,No,Milky Plum,Dark Grey Glass,53 Eye Size,91919492
Ray-Ban,Kat RX7327,169.2,No,Yes,Lilac,Clear  ,50 Eye Size,45682106
Ray-Ban,RB3751,223.2,Yes,No,Copper,Green Silver Mirror Glass  ,61 Eye Size,22822926
Valley,Orb,260,Yes,No,Matte Black Japanese Titanium,Black Gradient,61 Eye Size,63774531
Isabel Marant,IM 0194/S,319.5,No,No,Black,Grey,61 Eye Size,18505766
Ray-Ban,RB3713D,233.1,No,No,Arista,Dark Green Glass Polarised,61 Eye Size,82243625
Emporio Armani,EA4220,221.85,Yes,No,Shiny Transparent Light Brown,Yellow and Light Brown Gradient,61 Eye Size,84122841
GUCCI,GG1692SA,575,No,No,Black,Grey,61 Eye Size,27677761
Raen,Remmy 49 Small,251.96,No,No,Crystal Clear,Blue Smoke Polarised,61 Eye Size,10514953
Prada,PR02ZS,531.9,Yes,No,Root Tortoise,Blue Glass,61 Eye Size,49284724
Ray-Ban,RB3732,223.2,No,No,Silver,Green Silver Mirror Glass  ,59 Eye Size,67854226
Boss,1743/S,346.5,No,No,Gold Havana,Grey Brown Gradient,59 Eye Size,88098393
Ray-Ban,New Clubmaster RX7216,214.2,No,Yes,Black on Silver,Clear,59 Eye Size,72385789
Oakley,Holbrook,268.2,No,No,Black,Prizm Black Polarised,59 Eye Size,45890407
Oakley,BiSphaera,282.6,No,No,Grey Smoke,Clear to Black Iridium Photochromic Mirror,59 Eye Size,20379333
Ray-Ban,Kat RX7327,169.2,No,Yes,Algae Green,Clear  ,50 Eye Size,53395907
Prada,PR52ZV,494.1,No,Yes,Pale Gold,Clear,50 Eye Size,59303591
Isabel Marant,IM 0194/S,319.5,No,No,Havana,Brown,50 Eye Size,15958286
Coach,HC7167B,222.7,Yes,No,Pink Pearl,Brown Pink Gradient,50 Eye Size,55516780
GUCCI,GG1703S,855,No,No,Silver,Green,50 Eye Size,16955649
Prada,PRA01V,352.8,No,Yes,Black Transparent Havana,Clear  ,55 Eye Size,78214072
Boss,1722/G/S,306,No,No,Crystal Grey,Grey,55 Eye Size,60837960
Miu Miu,MU11ZS,509.4,No,No,Moka,Light Blue,55 Eye Size,34874147
Ray-Ban,Zena RX7330,169.2,No,Yes,Havana,Clear  ,52 Eye Size,88393137
Ray-Ban,Bain Bridge RB3735,210.6,No,No,Arista Gold,Green Glass  ,60 Eye Size,19488915
Persol,PO3315S,389.7,Yes,No,Smoke,Black Polarised Glass  ,55 Eye Size,74320755
Ray-Ban,Old Aviator RB3825,210.6,No,No,Rose Gold,Blue Glass  ,62 Eye Size,66950074
Dolce & Gabbana,DG4416,334.8,Yes,No,Havana,Dark Brown,62 Eye Size,45715889
Oakley,Hstn OX8139 (A),201.6,No,Yes,Polished Clear,Clear,62 Eye Size,91408925
Ray-Ban,Round Metal RX3447V,201.6,No,Yes,Gunmetal,Clear  ,53 Eye Size,84375303
Coach,HC8390U,179.35,Yes,No,Milky Cloud,Wine,53 Eye Size,38211841
Michael Kors,Nice MK2213,219.6,Yes,No,Black,Dark Grey Gradient,53 Eye Size,91518249
Prada Linea Rossa,PS07PV,324.9,No,Yes,Black,Clear,53 Eye Size,70318679
Ray-Ban,Erika RX7046,169.2,No,Yes,Transparent Brown,Clear,53 Eye Size,37409483
Michael Kors,Silverton MK1153,192.6,Yes,No,Shiny Yellow Gold,Light Grey Gradient,53 Eye Size,57780257
Coach,HC8391U,179.35,No,No,Caramel Tortoise,Brown,53 Eye Size,22205496
Versace,VE3338,358.2,No,Yes,Havana,Clear,53 Eye Size,17459213
Ray-Ban,Old Aviator RB3825,210.6,No,No,Black,Dark Grey Glass  ,58 Eye Size,78400976
Valley,Lafayette,260,Yes,No,Gloss Black with Gold Metal,Black,58 Eye Size,55201440
Prada,PRA08V,494.1,No,Yes,Havana Black Transparent,Clear  ,54 Eye Size,31366569
Oakley,Feedback,258.3,No,No,Satin Gunmetal,Prizm Dark Golf,54 Eye Size,50325151
Oakley,Radar EV Path,252.9,Yes,No,Matte Lilac,Prizm Slate,54 Eye Size,38928031
Prada,PR02ZS,531.9,No,No,Root Tortoise,Blue Glass,54 Eye Size,16519413
Oakley,Holbrook (A),187.2,No,No,Matte Black and Blue Aurora,Prizm Grey,54 Eye Size,46937700
Ray-Ban,Erik RX7215,214.2,No,Yes,Black,Clear  ,51 Eye Size,48325679
Versace,VE4473U,509.4,Yes,No,Dark Havana,Dark Grey,51 Eye Size,48798280
Persol,PO3310S,415.8,No,No,Smoke,Black Polarised Glass  ,54 Eye Size,40133969
Versace,VE4361,382.5,Yes,No,Crystal,Dark Blue,54 Eye Size,99883679
Ray-Ban,RB3732,259.2,No,No,Arista Gold,Black Polarised Glass  ,56 Eye Size,87164054
Miu Miu,04UV,438.3,No,Yes,Honey Havana,Clear,56 Eye Size,48152951
Ray-Ban,RB3746,219.6,Yes,No,Black,Grey Gradient Glass  ,56 Eye Size,93090153
Arnette,Phoxer AN4338,99.9,No,No,Frosted Grey,Dark Grey,56 Eye Size,56852515
Dolce & Gabbana,DG3372,342,No,Yes,Black,Clear  ,52 Eye Size,37911846
Ray-Ban,Hexagonal Legend RB3548,219.6,No,No,Arista,Green Vintage Gradient Glass  ,51 Eye Size,14612418
Ray-Ban,RB3746,219.6,No,No,Black,Grey Gradient Glass  ,56 Eye Size,91165614
Burberry,BE1386,355.5,No,Yes,Dark Grey,Clear  ,55 Eye Size,21814993
Versace,VE3304,272.7,No,Yes,Transparent Pink,Clear,55 Eye Size,12219848
Emporio Armani,EA4219,221.85,Yes,No,Matte Blue,Dark Blue,55 Eye Size,79481716
Prada,PR02ZS,603.9,No,No,Black,Green Polarised Glass,55 Eye Size,84242326
Miu Miu,MU09ZS,596.7,No,No,Caramel,Clear Silver Gradient Mirror,55 Eye Size,10615955
Emporio Armani,EA4224F,249.05,Yes,No,Shiny Black,Dark Grey Gradient Polarised,55 Eye Size,93787199
Prada,PR18ZV,494.1,No,Yes,Crystal Grey,Clear,55 Eye Size,62974688
Serengeti,Lenwood,413.1,Yes,No,Shiny Classic Havana,555nm Photochromic Polarised Glass,55 Eye Size,91517297
Prada,PRA51S,592.2,No,No,Pale Gold,Brown Grey Gradient,55 Eye Size,46837995
Oakley,Centerboard OX8163,174.6,No,Yes,Polished Clear,Clear  ,55 Eye Size,85480112
Ray-Ban,Leonard RX5393,201.6,No,Yes,Havana,Clear  ,51 Eye Size,68604321
GUCCI,GG1732SK,700,No,No,Black,Grey,51 Eye Size,53115940
Persol,PO3302S,415.8,Yes,No,Transparent Grey,Blue Gradient Polarised Glass,51 Eye Size,15183272
Prada,PR07ZV,409.5,No,Yes,Black,Clear,51 Eye Size,80614211
Miu Miu,09WS,509.4,No,No,Honey Havana,Light Purple,51 Eye Size,31201784
Oakley,Gascan,242.1,No,No,Matte Black and Cyan,Prizm Black Polarised,51 Eye Size,95527613
Prada Linea Rossa,PS03PV,324.9,No,Yes,Matte Grey,Clear,51 Eye Size,14509239
Prada,PR26ZS,561.6,No,No,Opal Milk,Light Brown,51 Eye Size,56959251
Ray-Ban,RB3751,196.2,Yes,No,Black,Green Glass  ,61 Eye Size,92363445
Prada Linea Rossa,PS07PV,324.9,No,Yes,Black Rubber,Clear,61 Eye Size,90551502
Ray-Ban,RB4435,196.2,Yes,No,Transparent Brown,Brown Glass  ,56 Eye Size,33250583
Prada,PR02ZS,603.9,Yes,No,Black,Green Polarised Glass,56 Eye Size,86613400
Prada,PR65YV,409.5,No,Yes,Black and Pale Gold,Clear,56 Eye Size,79511823
Ray-Ban,RB2206D,196.2,No,No,Transparent Grey,Dark Grey,56 Eye Size,30222675
Valley,Dylan Kain,260,No,No,Gloss Black with 24k. Gold Metal Trim,Black,56 Eye Size,55240386
Oakley,Spindrift,280.8,Yes,No,Matte Black and Crystal Blue Fade,Prizm Black Polarised,56 Eye Size,93635479
GUCCI,GG1680S,555,No,No,Black,Grey,56 Eye Size,57909652
Ray-Ban,Zena RX7330,169.2,No,Yes,Lilac,Clear  ,52 Eye Size,61151814
Prada,PRA03V,438.3,No,Yes,Havana Magma,Clear  ,52 Eye Size,94892918
Ray-Ban,Bain Bridge RB3735,219.6,No,No,Arista Gold,Brown Clear Gradient Glass  ,57 Eye Size,43747283
Coach,HC7165D,179.35,Yes,No,Shiny Rose Gold,Burgundy Gradient,57 Eye Size,80528312
Burberry,BE2388,326.7,No,Yes,Black,Clear  ,50 Eye Size,41753974
Emporio Armani,EA4219,264.35,No,No,Matte Black,Grey Polarised,50 Eye Size,63735524
Ray-Ban,RB3732,223.2,No,No,Silver,Green Silver Mirror Glass  ,56 Eye Size,82545390
Ray-Ban,Kat RX7327,169.2,No,Yes,Havana,Clear  ,50 Eye Size,64020203
GUCCI,GG1714S,390,No,No,Black,Grey Gradient,50 Eye Size,30166194
GUCCI,GG1638SA,780,No,No,Black,Grey,50 Eye Size,97234223
Prada,PRA51S,592.2,Yes,No,Pale Gold,Brown Grey Gradient,50 Eye Size,93259146
Versace,VE3338,358.2,No,Yes,Black,Clear,50 Eye Size,20659374
Ray-Ban,Old Aviator RB3825,219.6,No,No,Silver,Blue Clear Gradient Glass  ,62 Eye Size,61023340
Persol,PO0649,326.7,Yes,No,Opal Beige,Dark Grey Glass  ,54 Eye Size,42682392
Ray-Ban,New Round RB3637,232.2,Yes,No,Gold,Blue Gradient Glass  ,53 Eye Size,71144378
Persol,PO3315S,389.7,No,No,Smoke,Black Polarised Glass  ,55 Eye Size,44034787
Ray-Ban,Elliot RX5397,201.6,No,Yes,Havana,Clear  ,50 Eye Size,87241066
Oakley Youth,Capacitor,133,No,No,Polished White,Prizm Field,50 Eye Size,38115738
Ray-Ban,RB3727D,232.2,Yes,No,Arista,Dark Green Polarised,50 Eye Size,82890135
Versace,VE3362U,340.2,No,Yes,Black,Clear  ,53 Eye Size,93201413
Ray-Ban,New Wayfarer Classic RB2132,187.2,No,No,New Wayfarer Classic RB2132 Rubber Havana,Dark Grey Glass  ,58 Eye Size,95728648
Ray-Ban,Old Aviator RB3825,291.6,No,No,Gunmetal,Blue Gradient Polarised Glass  ,62 Eye Size,92397680
Prada,PR65YV,409.5,No,Yes,Brown and Pale Gold,Clear,62 Eye Size,35581903
Oakley,BiSphaera,237.6,No,No,Steel,Prizm Mirror Black,62 Eye Size,31899456
Prada Linea Rossa,PS04NV,324.9,No,Yes,Rubber Black,Clear,62 Eye Size,19117418
Ray-Ban,RB3749,273.6,No,No,Havana on Gold,Green Glass Polarised  ,55 Eye Size,18380200
Burberry,BE2393D,270,No,Yes,Matte Black,Clear,55 Eye Size,88232722
Emporio Armani,EA4219,264.35,Yes,No,Matte Dark Grey,Grey Polarised,55 Eye Size,30490901
Ray-Ban,RB3751,223.2,No,No,Copper,Green Silver Mirror Glass  ,58 Eye Size,46422811
Ray-Ban,RB3751,196.2,Yes,No,Gunmetal,Blue Glass  ,61 Eye Size,96008060
Ray-Ban,Bain Bridge RB3735,219.6,No,No,Silver,Blue Clear Gradient Glass  ,57 Eye Size,82440417
Coach,HC7128,179.35,Yes,No,Shiny Black,Grey,57 Eye Size,69100365
Valley,Ritual,260,Yes,No,Gloss Black with Silver Metal,Black,57 Eye Size,39092934
Miu Miu,09WS,509.4,No,No,Honey Havana,Green,57 Eye Size,69809200
GUCCI,GG1719S,495,No,No,Red,Violet,57 Eye Size,31284680
Tiffany & Co.,TF2234B,490.5,No,Yes,Black On Tiffany Blue,Clear,57 Eye Size,10723634
Versace,VE4361,382.5,No,No,Crystal,Dark Blue,57 Eye Size,96322217
